,Sample_ID,Age,Sample_type,Location,Li_6,Li_7,Be,B,Mg,Al,Si,P,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Er,Yb,Lu,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Ca,Pr
1,JFB1_a,Adult,Bone,JF,18.9,552.3,4.2,26700.6,3901490.5,149451.8,231.4,48421.8,84.7,25474.1,NA,708.5,15275.2,322842.4,201.2,1435.8,307,67351,105.1,158.1,129.9,370514.5,171.3,1.4,34.6,277.4,10.8,537.9,0.3,2.2,7.8,3,4.1,5156.9,0.2,398.4,8.8,6.9,1.3,0,3.7,0.1,1.1,0.2,36.7,0.5,112.3,0.1,19,313,116862.1,1441373.1
2,JFB2_a,Adult,Bone,JF,21.6,605,5.2,22191.3,3326336.9,158866.8,339.9,47487.9,100.6,24940.2,NA,1008.5,11325.1,289683.4,251,1639.4,316.4,90597.8,67.2,321.2,117.4,243380.8,49.4,1,31,188.1,11.3,927.1,0.3,1.7,3.8,1.8,3.8,6368,0.2,424.8,11.1,9.2,1.6,0,2.4,0.1,0.5,NA,170.2,0.7,138.4,0.1,19.7,199.4,114116.1,1720728.3
3,JFB3_a,Adult,Bone,JF,13.4,379.3,2.5,25478.9,3550757.1,106064.5,243.8,49521.3,80.5,18179.9,NA,797.8,5245.6,252449.2,181.4,1511.2,202,61678,133.8,74.2,91.5,412941.8,218.4,1.6,39.2,344.9,8.4,166.9,0.1,1.6,11.1,3.5,2.2,3844,0.1,240.3,7.6,6,1,0,1.4,0,0.3,NA,7.2,3.1,80.3,0.1,9.6,557.9,121685.6,1041594.5
4,JFB4_a,Adult,Bone,JF,12.9,353.2,1,25042.4,3532808.9,31114.8,73.5,50000.3,31.6,6652.3,NA,234.2,1622.9,96891.7,97.6,1318.3,105.5,61406.7,50.7,66.4,38,365790.2,86.5,1.5,38.5,303.1,5.2,144.5,NA,NA,6.5,2.2,1,3346,0,81.1,2.4,2.1,0.7,0,1.3,0,0.1,NA,11.8,2.6,89.9,0,3.7,369.7,119517.1,329354.9
5,JFB5_p,Pup,Bone,JF,9.9,275.8,0.4,7958.7,2084078.8,7991,15.3,49895,18.5,2136.9,NA,26.2,1892.8,30445.7,72.1,1131,141.7,48788.1,40.5,167.8,71,169729.4,29.2,0.6,31,133.1,3.8,67.1,NA,NA,1.5,0.7,0.9,5608.9,0,35.2,1,0.6,0.4,0,1.4,0,0.1,NA,15.2,1.9,12.8,0,1.3,76.2,118857.5,136313.9
6,JFB1_p,Pup,Bone,JF,4.9,141.8,1,1493.6,1713392.6,45481,105,47142.4,37.7,5055.6,NA,166,7961.6,85562.6,183.4,1263.9,365.6,77245.3,309.3,421.4,303.3,142672.2,24.5,0.6,27.4,106.8,3.8,138.8,0.1,0.6,0.8,0.8,0.9,4381.8,0.1,115.3,5.1,3.8,0.8,0,2.4,0,0.8,NA,16.4,1.2,40.7,0,2.6,5.5,111010.3,512070.1
7,JFB2_a,Adult,Bone,JF,16,467.9,2.4,8526.4,3108301.4,10844.2,25.5,48128.4,49.4,1920.2,NA,92.4,62152.3,206784.3,642.9,2127,601.4,82016.9,1117.4,348,69.9,295334.4,62.4,1.3,33.7,235.6,9.2,1010.6,0.1,NA,3.7,1.2,0.3,5141.1,0.1,188.8,10.5,8.4,1.7,0,1.9,0,0.3,NA,22,2.5,75,0,3.4,13.5,119877,684662
8,JFB3_p,Pup,Bone,JF,14.1,387.8,2,10096.4,2794411.7,73147.2,119.3,51356.3,49.5,12383.5,NA,201.5,16645.9,102159.1,169.8,1317,147.6,48942,25.9,90.9,66,170259.1,45.1,0.7,33.4,136.4,6.9,204.8,0,0.3,1.3,1.7,1.1,5019.9,0.1,189.1,5.4,4.2,1,0,1.5,0,0.2,NA,7,1.3,50.8,0,7.9,51.5,121399,722023.9
9,JFB4_p,Pup,Bone,JF,15.2,411.4,16.6,4839.6,3037722.7,586556.8,1219.6,48003.3,383.2,5114.2,NA,3645,76484.5,317855.9,1025.7,2758.1,1409.5,82766,528.6,794.7,328.8,209617.7,62.4,0.9,25.9,213.5,4.2,132.1,0.9,NA,0.4,2,9.3,3274.3,0.6,1469.5,51.1,37.5,5.3,0.1,2.2,0,0.3,NA,15.5,2.6,38.5,0.1,18.1,17.5,111150.1,6079807.9
10,JFB5_p,Pup,Bone,JF,5.8,160.1,2.6,1725.7,2053307.9,101749.9,277.3,50604.8,80.1,11095.5,NA,320.3,10387.5,230874.5,207.5,1340.6,284.2,58046.7,174.9,345.8,171.5,141380.4,17.8,0.6,29.7,116.7,4.9,347.8,0.1,1.3,0.8,1.2,1.5,3625.9,0.1,302.4,9.1,6.6,1.3,0,2.5,0,0.2,NA,56.1,1.2,42.9,0,5.5,5.1,115569.3,1113300.1
